,open_time,open,high,low,close,volume,close time,Quote asset volume,Number of trades,oth,null,other,market_name
0,1571097600000,0.62488414,1.49567746,0.62177663,0.83608105,16455.7,1571183999999,13233.77538571,4459,2273,,0,FSTUSDT
1,1571184000000,0.83608105,1.3965384,0.62236011,0.68008832,28758.8,1571270399999,21961.17420667,7941,3915,,0,FSTUSDT
2,1571270400000,0.68104884,0.70997599,0.62124177,0.6679886,27614,1571356799999,18677.36742389,7927,3999,,0,FSTUSDT
3,1571356800000,0.6679886,0.70912125,0.40925649,0.70138145,27026.4,1571443199999,16851.12491049,7782,3941,,0,FSTUSDT
4,1571443200000,0.70138145,0.70994413,0.4,0.68270954,28521.9,1571529599999,19000.12091372,7882,3919,,0,FSTUSDT
5,1571529600000,0.68270954,0.74992181,0.4129148,0.71668741,27717.7,1571615999999,18268.28147589,7671,3810,,0,FSTUSDT
6,1571616000000,0.73328521,0.74999846,0.71118609,0.72821534,28339.1,1571702399999,20926.62078683,7840,4008,,0,FSTUSDT
7,1571702400000,0.72821534,0.74996273,0.71117924,0.74095223,27507.5,1571788799999,20327.60885189,7841,3922,,0,FSTUSDT
8,1571788800000,0.74414039,0.81987321,0.6699943,0.76345,27000.7,1571875199999,20569.74160091,7559,3769,,0,FSTUSDT
9,1571875200000,0.76363905,0.85999652,0.58,0.83156852,27398.3,1571961599999,21939.57519744,7507,3689,,0,FSTUSDT
10,1571961600000,0.83030548,0.88991063,0.76,0.84816159,25470.3,1572047999999,21558.72072852,7161,3621,,0,FSTUSDT
11,1572048000000,0.84816159,0.88973861,0.09247768,0.47604975,25232.7,1572134399999,18864.91808046,7209,3612,,0,FSTUSDT
12,1572134400000,0.27580598,1.07931757,0.06522986,0.99469856,26239.2,1572220799999,22529.74158524,7502,3713,,0,FSTUSDT
13,1572220800000,1.0221537,1.07857874,0.85334995,0.97229782,23880.7,1572307199999,23381.85356597,6725,3303,,0,FSTUSDT
14,1572307200000,0.9701594,0.99920671,0.84466799,0.88519301,26548.3,1572393599999,24298.99843076,7301,3651,,0,FSTUSDT
15,1572393600000,0.88318634,0.99911548,0.87131458,0.94229674,9034.9,1572479999999,8463.01866095,2543,1288,,0,FSTUSDT
16,1572480000000,0.94055408,0.95989108,0.90289643,0.9573173,17604.9,1572566399999,16656.52146718,4907,2411,,0,FSTUSDT
17,1572566400000,0.9563689,1.0795023,0.32197651,1.02253701,27635.3,1572652799999,26844.84009457,7847,3915,,0,FSTUSDT
18,1572652800000,1.02975149,1.07996924,0.92281285,1.04398324,26300.9,1572739199999,27039.51824312,7488,3714,,0,FSTUSDT
19,1572739200000,1.04048263,1.07963268,0.92143296,1.07200156,27827.9,1572825599999,28587.97091882,7990,3954,,0,FSTUSDT
20,1572825600000,1.06378312,1.07960904,0.92224504,0.99007062,29434.1,1572911999999,30242.32851001,8164,4135,,0,FSTUSDT
21,1572912000000,0.99007062,1.07987568,0.92224213,1.02433821,29069.6,1572998399999,29582.82198797,8127,4003,,0,FSTUSDT
22,1572998400000,1.02262234,1.04867143,0.89521784,0.90026912,27463,1573084799999,27524.93920319,7605,3828,,0,FSTUSDT
23,1573084800000,0.89515843,1.04897531,0.59992603,1.04686085,28206.7,1573171199999,27861.17932959,7814,3876,,0,FSTUSDT
